sample_id,method,true_species,correct,high_energy_overlap,low_energy_overlap,clip_border_overlap
000063_seg01_sperm_whale_train_1_000308,lime,Sperm Whale,False,1.0,0.8292143401983219,0.07200610221205186
000063_seg01_sperm_whale_train_1_000308,saliency,Sperm Whale,False,1.0,0.5794852384557153,0.18728236184708555
000063_seg01_sperm_whale_train_1_000308,smoothgrad,Sperm Whale,False,1.0,0.42515379357484623,0.21508316245158351
000063_seg01_sperm_whale_train_1_000308,input_x_gradient,Sperm Whale,False,1.0,0.857429718875502,0.0963855421686747
000063_seg01_sperm_whale_train_1_000308,guided_backprop,Sperm Whale,False,1.0,0.5709969788519638,0.18808583159036332
000001_seg00_spinner_dolphin_train_1_000104,gradcam,Spinner Dolphin,True,1.0,0.3657475670893542,0.16153052196992038
000001_seg00_spinner_dolphin_train_1_000104,integrated_gradients,Spinner Dolphin,True,1.0,0.8092369477911646,0.0963855421686747
000001_seg00_spinner_dolphin_train_1_000104,occlusion,Spinner Dolphin,True,1.0,0.8876307522353022,0.0932095142748645
000001_seg00_spinner_dolphin_train_1_000104,lime,Spinner Dolphin,True,1.0,0.8744734625105307,0.054606724362410965
000001_seg00_spinner_dolphin_train_1_000104,saliency,Spinner Dolphin,True,1.0,0.3694434339759913,0.1970898508548563
000001_seg00_spinner_dolphin_train_1_000104,smoothgrad,Spinner Dolphin,True,1.0,0.306786915316417,0.18916233567716295
000001_seg00_spinner_dolphin_train_1_000104,input_x_gradient,Spinner Dolphin,True,1.0,0.8092369477911646,0.0963855421686747
000001_seg00_spinner_dolphin_train_1_000104,guided_backprop,Spinner Dolphin,True,1.0,0.4281402368237752,0.18651807135670614
000001_seg01_spinner_dolphin_train_1_000104,gradcam,Spinner Dolphin,True,1.0,0.3657475670893542,0.16153052196992038
000001_seg01_spinner_dolphin_train_1_000104,integrated_gradients,Spinner Dolphin,True,1.0,0.8092369477911646,0.0963855421686747
000001_seg01_spinner_dolphin_train_1_000104,occlusion,Spinner Dolphin,True,1.0,0.8876307522353022,0.0932095142748645
000001_seg01_spinner_dolphin_train_1_000104,lime,Spinner Dolphin,True,1.0,0.8744734625105307,0.054606724362410965
